who,no,id,px,py,pz,cx,cy,cz,lpes,type,R2,R1,R1_idx,R1-R2,R1-LPES,LPES-R2
mk,1,1112,6.883200,2.054670,5.888880,6.845745,2.096811,5.695463,0.205723,interior,0.201466813135564,0.194390493168837,138,-0.00707631996672686,-0.0113325068311633,0.00425618686443641
sa,1,1112,6.883200,2.054670,5.888880,6.854959,2.082498,5.705768,0.187359,interior_minus,0.187355160614807,0.187358304572326,138,3.14395751863095e-06,-6.9542767427988e-07,3.83938519291083e-06
mk,2,3055,6.753090,2.200470,5.907760,6.737641,2.361745,5.669344,0.293817,interior,0.28825420427463,0.271590512068752,138,-0.0166636922058776,-0.0222264879312479,0.00556279572537033
sa,2,3055,6.753090,2.200470,5.907760,6.762358,2.327334,5.700884,0.242852,interior_minus,0.242853967840758,0.242851384794051,132,-2.58304670633369e-06,-6.15205948795161e-07,-1.96784075753853e-06
mk,3,3495,7.255950,2.563870,6.556680,7.047488,2.665089,6.782648,0.322281,interior,0.323671482260949,0.32228058808023,132,-0.00139089418071897,-4.11919769793823e-07,-0.00139048226094918
sa,3,3495,7.255950,2.563870,6.556680,7.048714,2.651253,6.772360,0.311611,interior_minus,0.31160938815286,0.311611080865092,132,1.69271223199319e-06,8.08650922334841e-08,1.6118471397597e-06
mk,4,4431,6.763820,2.562870,6.968200,7.020766,2.897167,6.938980,0.546899,vertex,0.422645879578874,0.512185140909952,3,0.0895392613310782,-0.034713859090048,0.124253120421126
sa,4,4431,6.763820,2.562870,6.968200,7.020766,2.897167,6.938980,0.512185,vertex,0.422645879578874,0.512185140909952,3,0.0895392613310782,1.40909952039969e-07,0.0895391204211262
mk,5,4478,7.114100,1.580740,6.059570,7.204831,1.366313,5.928335,0.258962,interior,0.26727079510302,0.28115715483166,132,0.0138863597286403,0.0221951548316598,-0.00830879510301952
sa,5,4478,7.114100,1.580740,6.059570,7.214096,1.331655,5.918894,0.303032,interior_minus,0.303038403864923,0.303032060218968,132,-6.34364595514247e-06,6.02189675347198e-08,-6.40386492267719e-06
mk,6,5092,7.063130,1.458820,6.171510,7.258787,1.367935,6.072168,0.236254,interior,0.237509111063134,0.259256827251089,138,0.0217477161879558,0.0230028272510893,-0.00125511106313353
sa,6,5092,7.063130,1.458820,6.171510,7.292325,1.249562,6.044919,0.335180,interior_minus,0.335178370229942,0.335179172264503,132,8.02034561486753e-07,-8.27735496977677e-07,1.62977005846443e-06
mk,7,5101,6.992390,2.503510,6.481860,6.924038,2.875894,6.663179,0.401350,interior,0.419783776629111,0.40134880370738,132,-0.0184349729217315,-1.19629262018695e-06,-0.0184337766291113
sa,7,5101,6.992390,2.503510,6.481860,6.936373,2.824807,6.645776,0.365013,interior_minus,0.365017974288938,0.365013101359409,138,-4.87292952872087e-06,1.01359409365731e-07,-4.9742889380866e-06
mk,8,6412,7.002240,2.548240,6.695070,7.020766,2.897167,6.938980,0.546899,vertex,0.426128328212289,0.512185140909952,3,0.0860568126976634,-0.034713859090048,0.120770671787711
sa,8,6412,7.002240,2.548240,6.695070,7.020766,2.897167,6.938980,0.512185,vertex,0.426128328212289,0.512185140909952,3,0.0860568126976634,1.40909952039969e-07,0.0860566717877114
mk,9,6563,7.191540,1.820260,6.485980,7.289705,1.773745,6.550229,0.124170,interior,0.126205968365209,0.131295657789266,138,0.00508968942405782,0.00712565778926633,-0.0020359683652085
sa,9,6563,7.191540,1.820260,6.485980,7.294661,1.761673,6.551500,0.135500,interior_minus,0.135496301093425,0.135499739390843,132,3.43829741863977e-06,-2.60609156754743e-07,3.69890657539451e-06
mk,10,7809,6.672000,2.636880,6.009690,6.685975,3.159630,6.312807,0.617715,vertex,0.604435917872193,0.573603174267456,33,-0.0308327436047365,-0.0441118257325439,0.0132790821278074
sa,10,7809,6.672000,2.636880,6.009690,6.685436,3.111069,6.263934,0.538218,edge_plus,0.538215333628651,0.538218263661636,192,2.93003298534877e-06,2.63661636190626e-07,2.66637134915815e-06
mk,11,8214,6.992390,2.129690,6.952640,7.240953,2.321145,6.956605,0.312736,edge,0.313774287058388,0.296762446151509,138,-0.0170118409068798,-0.0159735538484914,-0.00103828705838838
sa,11,8214,6.992390,2.129690,6.952640,7.125098,2.197589,6.983550,0.152239,interior_minus,0.152240321744931,0.152239147256916,3,-1.17448801506548e-06,1.47256915550287e-07,-1.32174493061576e-06
mk,12,9370,6.530410,1.941540,5.662350,6.675296,2.197405,5.344390,0.451041,vertex,0.433078991433434,0.436709261309838,192,0.00363026987640425,-0.014331738690162,0.0179620085665663
sa,12,9370,6.530410,1.941540,5.662350,6.675296,2.197405,5.344390,0.436710,vertex,0.433078991433434,0.436709261309838,192,0.00363026987640425,-7.38690161983246e-07,0.00363100856656623

