id,px,py,pz,cx,cy,cz,lpes,type,R2,R1,R1_idx,R1-R2,R1-LPES,LPES-R2
1112,6.883201,2.054669,5.888883,6.854959,2.082498,5.705768,0.187359,interior_minus,0.18735839193908543,0.18735830457232572,138.0,-8.736675971565688e-08,-6.954276742798804e-07,6.080609145642235e-07
3055,6.753087,2.200467,5.907755,6.762358,2.327334,5.700884,0.242852,interior_minus,0.24285139030073472,0.24285138479405122,132.0,-5.506683498079923e-09,-6.152059487951611e-07,6.096992652970812e-07
3495,7.255955,2.563866,6.556684,7.048714,2.651253,6.77236,0.311611,interior_minus,0.31161106659744936,0.31161108086509226,132.0,1.4267642900467337e-08,8.086509223348415e-08,-6.659744933301681e-08
4431,6.76382,2.562866,6.968198,7.020766,2.897167,6.93898,0.512185,vertex,0.42264890516952724,0.512185140909952,3.0,0.0895362357404248,1.4090995203996926e-07,0.08953609483047276
4478,7.1141,1.580735,6.059565,7.214096,1.331655,5.918894,0.303032,interior_minus,0.3030319729946001,0.30303206021896756,132.0,8.722436745101092e-08,6.021896753471978e-08,2.700539991629114e-08
5092,7.063129,1.458822,6.171506,7.292325,1.249562,6.044919,0.33518,interior_minus,0.3351787919678092,0.335179172264503,132.0,3.8029669380268416e-07,-8.277354969776773e-07,1.2080321907803615e-06
5101,6.992395,2.503514,6.481864,6.936373,2.824807,6.645776,0.365013,interior_minus,0.3650134245161401,0.36501310135940934,138.0,-3.2315673076377394e-07,1.0135940936573107e-07,-4.24516140129505e-07
6412,7.002242,2.548242,6.695066,7.020766,2.897167,6.93898,0.512185,vertex,0.4261288931731807,0.512185140909952,3.0,0.08605624773677134,1.4090995203996926e-07,0.0860561068268193
6563,7.191535,1.820262,6.485982,7.294661,1.761673,6.5515,0.1355,interior_minus,0.135500004136531,0.13549973939084325,132.0,-2.6474568773360296e-07,-2.6060915675474305e-07,-4.136530978859909e-09
7809,6.672003,2.636875,6.009692,6.685436,3.111069,6.263934,0.538218,edge_plus,0.5382187191923001,0.5382182636616362,192.0,-4.555306639675294e-07,2.636616361906263e-07,-7.191923001581557e-07
8214,6.99239,2.129692,6.95264,7.125098,2.197589,6.98355,0.152239,interior_minus,0.15223942975786536,0.15223914725691556,3.0,-2.825009497997577e-07,1.4725691555028675e-07,-4.2975786535004445e-07
9370,6.530407,1.941541,5.662353,6.675296,2.197405,5.34439,0.43671,vertex,0.4330816068433297,0.436709261309838,192.0,0.003627654466508312,-7.386901619832464e-07,0.0036283931566702954
